reference,other,metric,diff,ci_low,ci_high,p_value,n_tasks,reject_holm
llm_gate,llm_direct_gpt5mini,valid_accept,-0.15384615384615385,-0.2857142857142857,-0.04395604395604395,0.0324,26,False
llm_gate,llm_direct_gpt5mini,regret_norm,0.007020740566483518,-0.003825466371346152,0.01912178399166208,0.2526,26,False
llm_gate,llm_direct_gptoss,harmful_accept,-0.021978021978021976,-0.10989010989010987,0.07142857142857142,0.727,26,False
llm_gate,llm_direct_gptoss,valid_accept,-0.0934065934065934,-0.20329670329670332,8.540177112501205e-18,0.1244,26,False
llm_gate,llm_direct_gptoss,regret_norm,-0.0009778457335164826,-0.012484077876510987,0.011789324649436814,0.8768,26,False
llm_gate,llm_gate_urgency_coupled,harmful_accept,0.0017812611328820805,-0.0028500178126113283,0.006768792304951905,0.548,401,False
llm_gate,llm_gate_urgency_coupled,valid_accept,0.0060562878517990745,9.690225900718323e-19,0.012468827930174564,0.0766,401,False
llm_gate,llm_gate_urgency_coupled,regret_norm,-0.0005404194426790169,-0.0018173287716859638,0.0007349405621063403,0.3988,401,False
llm_gate,llm_safety,harmful_accept,-0.03491271820448877,-0.056644104025650156,-0.012468827930174559,0.003,401,False
llm_gate,llm_safety,valid_accept,0.1770573566084788,0.1460634128963306,0.20912896330602054,0.0,401,True
llm_gate,llm_safety,regret_norm,-0.041345279039829,-0.04797958022237353,-0.03488443757772801,0.0,401,True
llm_gate,llm_safety_deepseek,harmful_accept,0.06593406593406594,0.0,0.14835164835164835,0.193,26,False
llm_gate,llm_safety_deepseek,valid_accept,0.23076923076923078,0.10425824175824179,0.37912087912087916,0.0022,26,False
llm_gate,llm_safety_deepseek,regret_norm,-0.03764078564505495,-0.07293583279903848,-0.006991874037403854,0.0268,26,False
llm_gate,llm_safety_devstral,harmful_accept,0.07692307692307693,0.005494505494505494,0.16483516483516486,0.136,26,False
llm_gate,llm_safety_devstral,valid_accept,0.2527472527472528,0.11538461538461539,0.40659340659340665,0.0022,26,False
llm_gate,llm_safety_devstral,regret_norm,-0.039382982345604396,-0.078084498895,-0.0061513884123214554,0.0396,26,False
llm_gate,llm_safety_gemma4,harmful_accept,0.07692307692307693,0.005494505494505494,0.16483516483516486,0.136,26,False
llm_gate,llm_safety_gemma4,valid_accept,0.1758241758241758,0.06593406593406594,0.3131868131868132,0.007,26,False
llm_gate,llm_safety_gemma4,regret_norm,-0.014314730547802199,-0.03640027881038462,0.004633838584450545,0.1878,26,False
llm_gate,llm_safety_gpt4omini,harmful_accept,0.07692307692307693,0.005494505494505494,0.16483516483516486,0.136,26,False
llm_gate,llm_safety_gpt4omini,valid_accept,0.23626373626373628,0.09890109890109891,0.3902472527472508,0.0022,26,False
llm_gate,llm_safety_gpt4omini,regret_norm,-0.04106805744175824,-0.08830590936807693,-0.0036198917166621186,0.0596,26,False
llm_gate,llm_safety_gpt5mini,harmful_accept,0.07692307692307693,0.005494505494505494,0.16483516483516486,0.136,26,False
llm_gate,llm_safety_gpt5mini,valid_accept,0.1758241758241758,0.07142857142857142,0.3076923076923077,0.0022,26,False
llm_gate,llm_safety_gpt5mini,regret_norm,-0.019155517750549453,-0.041739232714780236,0.001012206447609888,0.0944,26,False
